home,leisure,education,health,work
apartments,bar,college,clinic,commercial
house,pub,school,doctors,industrial
residential,cafe,university,hospital,building
apartment,restaurant,kindergarten,dentist,office
house_number,cinema,library,pharmacy,yes
,nightclub,books,chemist,government
,theatre,archive,hearing_aids,bank
,fast_food,music_school,herbalist,coworking_space
,playground,driving_school,medical_supply,works
,park,language_school,optician,
,department_store,research_institute,nursing_home,
,museum,,social_facility,
,mall,,blood_donation,
,clothes,,first_aid_kit,
,boutique,,ambulance_station,
,art,,,
,music,,,
,video,,,
,video_games,,,
,community_centre,,,
